Activity Name: stand/
UserID: 4936
StartTime: 0
x	y	z
-980	63	111
-972	67	112
-980	57	104
-984	54	110
-973	51	112
-969	52	113
-976	44	103
-980	48	99
-977	56	103
-973	65	115
-972	63	120
-976	65	127
-993	64	145
-996	72	184
-985	80	238
-985	105	303
-983	86	304
-977	-33	217
-961	-153	159
-884	-305	151
-753	-303	156
-863	-273	99
-861	-311	100
-888	-268	92
-893	-268	67
-919	-272	75
-905	-225	-24
-968	-212	-74
-969	-221	-56
-978	-225	-89
-973	-244	-151
-1025	-324	-228
-1064	-361	-232
-1185	-468	-221
-1177	-538	-105
-1045	-584	-166
-889	-612	-119
-753	-661	-45
-605	-810	-9
-477	-773	17
-375	-825	-40
-301	-881	-116
-137	-848	-141
-29	-781	-159
46	-680	-132
108	-714	-77
131	-845	-8
152	-831	96
147	-793	136
168	-792	176
159	-879	179
182	-952	192
196	-1053	295
185	-996	383
176	-836	480
159	-829	519
107	-784	582
59	-784	636
56	-794	620
102	-789	566
152	-813	552
136	-772	567
126	-738	583
153	-833	472
176	-909	380
204	-885	406
236	-877	454
292	-914	428
326	-941	385
380	-941	399
384	-1003	376
386	-944	559
271	-552	772
372	-485	1016
526	-493	759
598	-231	652
600	-273	719
454	-372	775
377	-404	825
403	-408	851
540	-343	755
687	-418	499
707	-548	383
711	-561	377
737	-586	385
751	-653	254
707	-671	159
699	-660	134
688	-672	56
679	-705	47
671	-725	-2
683	-649	62
668	-719	44
664	-682	35
674	-704	31
655	-724	-8
664	-728	3
657	-713	6
648	-724	-2
647	-717	-5
638	-740	-5
639	-744	-18
638	-738	-24
630	-737	-41
635	-740	-40
625	-733	-40
639	-746	-61
636	-737	-71
625	-760	-49
623	-746	-72
630	-724	-64
623	-757	-8
620	-727	-66
615	-752	-64
639	-789	-24
675	-728	20
695	-793	76
664	-885	76
585	-930	-36
584	-829	-173
651	-722	-239
583	-689	-303
568	-650	-290
609	-621	-249
592	-621	-228
616	-601	-208
654	-600	-189
688	-608	-169
731	-637	-157
726	-634	-175
728	-625	-188
727	-612	-178
736	-601	-172
719	-584	-164
743	-569	-146
753	-586	-162
744	-616	-173
747	-605	-181
755	-605	-178
752	-605	-173
755	-601	-168
751	-589	-178
747	-596	-180
748	-588	-188
744	-588	-177
747	-594	-184
748	-585	-181
744	-586	-183
750	-591	-193
742	-596	-189
748	-597	-189
752	-596	-177
748	-596	-183
744	-596	-196
742	-589	-200
748	-585	-196
750	-592	-192
750	-592	-191
752	-592	-189
748	-584	-199
748	-585	-208
750	-583	-197
748	-585	-196
748	-596	-199
748	-589	-196
752	-592	-192
745	-596	-196
739	-580	-194
739	-578	-197
739	-597	-197
745	-599	-200
747	-592	-189
751	-589	-192
747	-585	-194
743	-585	-204
750	-585	-196
743	-588	-188
745	-584	-185
745	-588	-196
747	-591	-199
752	-589	-193
743	-580	-186
747	-584	-178
748	-585	-192
753	-584	-196
748	-584	-202
752	-592	-197
743	-588	-191
744	-594	-197
748	-586	-209
760	-569	-228
768	-569	-232
751	-625	-201
718	-632	-154
719	-626	-135
702	-610	-148
704	-634	-148
703	-631	-129
696	-645	-112
695	-653	-116
691	-633	-136
688	-624	-168
687	-647	-181
672	-697	-173
683	-709	-89
705	-712	-13
726	-745	9
736	-761	-49
735	-688	-136
729	-585	-216
731	-528	-253
732	-484	-291
720	-496	-328
731	-522	-359
752	-538	-354
760	-562	-346
764	-556	-330
750	-548	-328
744	-554	-336
748	-548	-336
743	-527	-327
742	-514	-317
739	-503	-305
752	-520	-292
755	-552	-282
751	-561	-288
755	-551	-288
755	-548	-282
752	-541	-289
752	-541	-285
759	-540	-289
752	-540	-295
755	-538	-285
759	-537	-282
759	-537	-289
755	-525	-288
756	-537	-292
766	-537	-288
761	-525	-288
759	-528	-286
764	-525	-288
767	-524	-292
760	-525	-288
755	-529	-285
760	-528	-280
764	-529	-288
764	-537	-298
760	-532	-301
758	-529	-295
767	-541	-290
767	-536	-296
760	-536	-290
755	-532	-293
755	-533	-293
761	-536	-295
764	-535	-298
760	-528	-303
752	-536	-296
755	-533	-288
763	-536	-289
755	-546	-289
760	-544	-288
755	-536	-290
759	-543	-295
761	-537	-297
756	-533	-292
755	-532	-296
763	-532	-296
761	-530	-287
768	-525	-280
771	-528	-287
767	-525	-292
769	-527	-282
767	-536	-272
766	-532	-280
771	-525	-289
766	-525	-288
760	-513	-285
760	-529	-279
758	-532	-270
764	-533	-276
771	-537	-284
771	-528	-288
775	-516	-281
772	-519	-276
771	-520	-281
766	-528	-276
764	-528	-273
766	-532	-272
764	-528	-276
760	-530	-282
760	-525	-281
763	-520	-272
764	-522	-269
767	-540	-274
764	-535	-280
771	-528	-290
772	-527	-282
761	-524	-274
767	-525	-272
769	-528	-281
766	-520	-276
771	-519	-268
771	-529	-269
764	-527	-273
766	-516	-281
780	-516	-281
775	-525	-276
774	-533	-271
777	-529	-265
777	-520	-272
774	-524	-282
776	-514	-286
775	-517	-274
769	-524	-271
771	-528	-276
774	-527	-276
775	-521	-272
779	-516	-264
774	-509	-272
774	-509	-285
779	-516	-279
783	-511	-271
776	-514	-271
780	-509	-272
777	-509	-282
776	-512	-285
780	-505	-285
777	-506	-296
776	-509	-288
776	-525	-276
771	-520	-274
770	-509	-281
771	-513	-292
771	-511	-298
775	-503	-295
766	-504	-288
772	-516	-273
780	-514	-269
775	-506	-268
780	-497	-287
783	-519	-308
780	-529	-305
769	-520	-296
761	-513	-285
766	-514	-290
760	-521	-300
760	-532	-296
752	-533	-294
753	-537	-285
761	-532	-281
760	-530	-282
759	-528	-298
760	-532	-293
760	-527	-289
755	-529	-300
750	-544	-305
755	-543	-301
755	-516	-298
744	-509	-320
728	-517	-377
750	-498	-410
695	-464	-500
649	-464	-544
635	-431	-569
615	-412	-569
591	-373	-612
606	-345	-681
617	-341	-680
540	-290	-817
551	-289	-874
516	-241	-877
532	-217	-804
526	-197	-769
524	-208	-776
520	-232	-817
542	-262	-817
547	-260	-805
571	-258	-781
582	-244	-783
588	-241	-784
587	-232	-775
590	-232	-756
593	-228	-761
593	-229	-776
599	-241	-753
611	-242	-748
622	-240	-743
624	-228	-737
627	-215	-735
612	-217	-728
622	-208	-733
636	-215	-720
646	-217	-724
646	-210	-733
639	-205	-733
639	-191	-730
635	-191	-737
630	-186	-733
630	-189	-730
627	-209	-725
632	-207	-724
639	-204	-727
639	-200	-733
639	-193	-730
638	-189	-729
636	-186	-730
635	-193	-736
633	-201	-741
638	-201	-738
632	-199	-733
632	-192	-740
630	-199	-744
631	-193	-737
633	-197	-733
630	-199	-728
633	-199	-727
639	-196	-729
636	-192	-729
638	-193	-729
639	-189	-724
633	-192	-725
630	-196	-728
632	-205	-724
636	-200	-735
643	-199	-740
643	-186	-738
638	-193	-729
636	-193	-717
632	-205	-717
638	-200	-729
647	-200	-730
646	-200	-733
637	-196	-730
636	-193	-720
633	-192	-717
639	-193	-721
633	-199	-733
643	-204	-729
646	-188	-727
639	-180	-729
635	-189	-729
639	-192	-736
639	-200	-744
643	-199	-738
635	-193	-730
633	-197	-733
636	-191	-730
636	-189	-729
638	-191	-737
632	-196	-738
630	-193	-735
632	-197	-730
636	-200	-735
632	-193	-743
636	-191	-738
631	-192	-729
633	-193	-729
638	-199	-732
638	-194	-733
636	-192	-737
636	-192	-744
635	-193	-730
638	-186	-725
638	-191	-733
636	-185	-727
636	-191	-727
638	-189	-724
633	-191	-737
635	-189	-737
632	-194	-729
646	-193	-740
639	-192	-729
636	-193	-730
639	-189	-736
632	-185	-735
638	-185	-730
638	-184	-729
639	-194	-737
639	-193	-737
633	-185	-735
638	-183	-729
632	-185	-717
636	-189	-727
643	-188	-737
639	-191	-753
646	-193	-744
639	-191	-735
638	-185	-727
636	-180	-721
636	-186	-727
643	-184	-733
639	-177	-729
644	-185	-729
644	-193	-737
