Activity Name: bus/
UserID: 615
StartTime: 0
x	y	z
459	-921	152
463	-925	148
465	-948	127
448	-970	119
446	-968	134
451	-962	152
454	-962	152
449	-928	163
457	-925	167
465	-930	152
450	-933	159
451	-936	172
460	-933	163
464	-925	161
463	-933	161
463	-941	152
463	-953	153
467	-945	153
465	-941	156
465	-936	153
462	-936	159
462	-935	159
463	-940	152
463	-932	158
468	-941	152
467	-935	159
467	-953	179
447	-913	203
438	-921	227
432	-917	248
440	-936	247
443	-981	241
440	-972	248
424	-968	295
435	-889	328
440	-769	395
432	-813	511
415	-836	587
412	-703	596
415	-529	721
408	-580	652
350	-624	831
321	-665	936
342	-607	758
214	-605	888
127	-567	975
156	-532	816
199	-556	724
216	-564	700
222	-573	639
227	-656	633
252	-655	623
280	-644	601
273	-676	670
232	-743	736
175	-805	744
-17	-884	712
35	-1042	734
31	-1104	764
-101	-1264	624
-288	-1029	579
-193	-756	563
-180	-864	583
-168	-921	591
-154	-864	588
-177	-880	585
-193	-884	575
-176	-873	575
-164	-885	561
-172	-893	563
-189	-890	566
-208	-877	582
-240	-857	654
-193	-882	588
-175	-948	527
-132	-980	472
-74	-976	478
-45	-1050	472
24	-1090	382
78	-1073	428
83	-1088	400
137	-1069	364
135	-954	336
167	-988	355
192	-848	332
214	-791	319
206	-848	236
140	-861	71
-33	-985	-89
-119	-1225	142
99	-1256	160
224	-1096	34
211	-1012	31
179	-1053	67
169	-1044	99
172	-1034	135
180	-1049	108
179	-1056	108
176	-1063	108
175	-1056	104
172	-1050	112
176	-1049	115
172	-1048	108
167	-1037	119
168	-1044	116
177	-1069	96
169	-1049	102
166	-1040	127
164	-1050	115
167	-1053	119
155	-1049	127
160	-1056	120
167	-1047	119
163	-1053	108
158	-1047	119
159	-1050	122
161	-1048	120
161	-1056	120
163	-1055	118
163	-1044	118
156	-1049	126
163	-1056	118
167	-1052	116
159	-1048	113
167	-1056	118
166	-1053	134
167	-1048	124
159	-1049	121
158	-1044	124
167	-1071	121
167	-1076	120
156	-1048	156
156	-1033	124
163	-1044	111
152	-1040	103
166	-1010	108
164	-1076	97
145	-1025	127
152	-1050	112
164	-1044	88
179	-1065	79
174	-1073	94
142	-1056	134
152	-1052	132
190	-1047	104
174	-1045	91
167	-1041	112
172	-1049	112
159	-1073	99
151	-1028	96
199	-1052	78
192	-1101	44
179	-1063	84
161	-1049	107
120	-1040	208
167	-989	198
313	-1007	24
291	-1044	60
195	-1045	167
204	-1041	160
243	-1052	131
231	-1010	142
214	-1016	139
220	-1017	112
222	-1021	123
217	-1040	151
215	-1053	151
211	-1056	145
207	-1031	144
207	-1032	135
207	-1042	144
203	-1040	152
206	-1041	144
212	-1031	127
208	-1034	144
211	-1029	152
199	-1033	152
204	-1041	152
203	-1044	151
198	-1032	145
199	-1044	142
207	-1042	145
201	-1040	140
192	-1031	139
192	-1033	137
192	-1040	151
199	-1044	147
192	-1041	147
191	-1037	147
195	-1042	150
199	-1042	143
192	-1042	140
188	-1040	143
190	-1040	147
195	-1044	145
190	-1047	147
192	-1052	151
192	-1039	150
193	-1047	150
185	-1049	151
184	-1036	159
190	-1047	166
203	-1040	168
223	-1023	172
222	-1009	159
224	-1032	164
227	-1026	153
243	-1047	159
239	-1037	167
244	-1032	167
243	-1025	143
243	-1028	156
233	-1008	160
238	-1025	155
236	-1032	148
248	-1034	139
240	-1037	152
230	-1032	161
231	-1021	159
235	-1048	152
235	-1033	166
224	-1025	179
231	-1021	174
241	-1032	188
241	-1047	216
227	-1039	198
230	-1053	176
247	-1039	163
272	-1063	192
264	-1071	241
284	-1064	283
270	-1074	299
278	-1055	263
268	-1028	255
248	-1002	246
222	-985	236
201	-953	207
179	-941	204
190	-945	268
198	-938	287
215	-965	326
225	-956	352
220	-945	342
207	-933	343
207	-946	358
217	-967	384
231	-969	380
233	-959	374
238	-957	350
224	-936	332
227	-960	339
216	-970	326
248	-983	352
243	-1005	328
275	-1009	371
271	-992	380
255	-980	364
249	-978	344
249	-975	332
241	-968	300
236	-959	273
252	-993	319
272	-1013	336
288	-1028	339
273	-1009	318
268	-976	302
273	-972	304
272	-976	296
271	-969	295
270	-968	297
255	-985	323
270	-1007	307
263	-1002	278
268	-1007	280
270	-1000	272
262	-986	268
263	-978	270
267	-989	283
264	-989	321
270	-989	328
254	-989	348
267	-1009	344
275	-1032	312
254	-1010	286
240	-988	286
254	-969	260
241	-968	275
238	-953	286
240	-989	316
232	-1015	340
236	-1001	316
240	-1005	312
240	-977	300
231	-959	310
231	-961	319
233	-959	319
227	-976	321
235	-962	304
248	-999	278
254	-1033	332
249	-1037	334
254	-1007	297
243	-1015	284
248	-994	278
275	-984	288
287	-980	279
273	-1000	263
240	-1016	191
215	-976	120
166	-853	60
166	-785	-57
225	-848	-8
351	-1093	167
480	-1240	427
527	-1305	696
323	-1052	307
200	-964	48
248	-996	62
259	-1009	96
230	-1009	124
223	-1012	140
231	-991	110
291	-1055	39
289	-1097	-13
235	-984	143
215	-1009	211
227	-1072	211
224	-1064	214
204	-1056	127
208	-1009	40
199	-1001	1
156	-1084	24
195	-1028	44
247	-1098	166
304	-1220	323
303	-1220	248
278	-1138	111
260	-962	14
172	-807	-161
79	-804	-200
263	-1082	35
275	-1056	15
231	-1050	96
224	-1072	107
222	-1010	76
228	-1017	79
240	-1060	64
231	-1037	71
212	-1040	94
208	-1069	118
223	-1041	124
220	-1002	110
219	-1017	103
220	-1042	108
223	-1063	113
212	-1068	99
211	-1056	99
211	-1032	112
217	-1049	99
220	-1052	92
223	-1033	95
220	-1008	83
211	-1040	96
220	-1060	108
217	-1073	99
208	-1050	95
217	-1048	89
220	-1032	83
217	-1041	94
211	-1041	111
212	-1052	112
208	-1058	111
207	-1053	111
208	-1033	118
211	-1015	120
204	-1029	127
211	-1034	116
214	-1034	119
211	-1044	97
211	-1060	83
216	-1049	76
225	-1049	86
216	-1031	96
206	-1064	127
211	-1103	140
211	-1103	118
199	-1056	102
200	-1002	99
207	-1000	96
216	-994	92
211	-1031	140
206	-1021	158
199	-1025	136
195	-1020	140
199	-1047	130
207	-1049	121
207	-1047	112
211	-1044	97
219	-1044	96
209	-1040	107
207	-1057	128
207	-1056	142
211	-1056	127
211	-1047	111
219	-1058	111
211	-1057	99
204	-1053	99
200	-1012	99
201	-1009	108
198	-1021	139
207	-1028	152
206	-1016	156
207	-1033	147
206	-1064	147
215	-1042	119
216	-1016	92
216	-1005	99
225	-1015	124
216	-1025	152
224	-1069	192
214	-1088	166
225	-1101	135
227	-1092	89
249	-1081	110
241	-1053	56
236	-1016	33
232	-1032	60
238	-1042	140
235	-1018	167
227	-1031	177
243	-1032	220
238	-981	192
231	-959	179
216	-956	156
230	-985	192
230	-1012	199
257	-1069	224
267	-1069	203
254	-1056	166
265	-1064	134
268	-1032	131
259	-1005	118
249	-984	142
268	-975	211
255	-980	249
243	-1000	252
236	-992	268
240	-991	249
235	-985	227
236	-993	215
243	-1005	195
246	-1028	193
268	-1036	195
270	-1036	195
271	-1034	196
263	-1021	199
248	-1017	199
241	-1029	216
248	-1021	243
246	-992	246
241	-1000	267
240	-1005	258
243	-1018	243
257	-1016	216
255	-996	199
263	-1000	220
275	-1037	239
275	-1026	257
265	-1018	260
278	-1007	267
264	-985	271
259	-981	286
262	-1005	304
266	-1017	310
271	-1000	297
252	-980	265
241	-991	275
236	-980	240
230	-961	231
231	-956	252
239	-968	287
267	-996	327
279	-980	351
251	-962	334
231	-964	310
240	-969	302
249	-962	300
243	-980	300
243	-994	262
243	-993	289
238	-984	273
216	-993	227
211	-1001	206
225	-1010	207
255	-1008	261
251	-1023	332
238	-1044	332
231	-1063	267
220	-1021	188
219	-993	179
216	-981	180
211	-1001	214
216	-1044	241
216	-1057	240
203	-1055	231
192	-1060	211
207	-1056	211
217	-1042	192
211	-1028	174
207	-1040	166
207	-1044	188
199	-1032	192
196	-1042	192
196	-1055	177
195	-1047	176
193	-1029	174
185	-996	148
188	-997	176
184	-1013	204
195	-1068	214
199	-1034	207
179	-985	176
188	-970	184
187	-961	190
168	-940	227
