Activity Name: run/
UserID: 311716
StartTime: 0
x	y	z
511	-517	-548
523	-496	-478
550	-495	-442
584	-516	-466
591	-532	-516
583	-576	-530
582	-618	-551
607	-634	-562
630	-637	-576
646	-657	-584
662	-681	-610
622	-690	-665
508	-669	-665
422	-677	-714
364	-660	-712
387	-597	-616
487	-556	-628
569	-493	-576
571	-525	-505
551	-578	-442
542	-570	-429
542	-584	-428
543	-584	-445
604	-548	-471
632	-538	-504
659	-561	-544
718	-553	-553
736	-569	-628
732	-609	-657
691	-610	-656
633	-552	-740
572	-464	-762
529	-450	-657
508	-468	-573
496	-488	-505
530	-500	-409
534	-498	-408
540	-538	-397
535	-584	-424
508	-591	-485
476	-676	-469
444	-791	-490
411	-882	-648
335	-948	-717
284	-940	-717
312	-897	-698
401	-866	-623
486	-781	-586
519	-685	-537
511	-640	-465
481	-560	-380
457	-424	-296
489	-385	-264
579	-392	-249
715	-441	-296
860	-621	-688
904	-778	-967
884	-848	-1092
787	-711	-905
699	-660	-724
488	-583	-616
252	-521	-489
72	-487	-380
-10	-452	-313
-31	-639	-360
153	-890	-717
343	-1189	-861
534	-1466	-713
588	-1241	-548
670	-864	-511
656	-548	-401
547	-290	-240
478	-346	-196
492	-328	-143
480	-239	-184
646	-421	-313
1007	-879	-1049
971	-1020	-993
919	-1202	-904
691	-1009	-728
311	-772	-423
-72	-537	-265
-244	-397	-189
-216	-345	-217
-216	-625	-413
65	-1119	-509
503	-1337	-839
907	-1736	-705
736	-1325	-552
728	-685	-567
603	-236	-380
451	-98	-68
407	-183	54
491	-151	-72
600	-223	-130
1054	-736	-664
1263	-1164	-1208
1179	-1380	-1124
888	-1161	-705
376	-772	-392
-320	-386	-328
-708	-116	-273
-415	-383	-295
-141	-783	-338
240	-1279	-588
606	-1578	-986
737	-1823	-844
432	-1160	-552
195	-402	-500
176	-212	-265
246	-49	-125
488	44	-77
1158	-332	-45
1337	-816	-319
1168	-1640	-928
972	-2048	-1421
280	-1777	-1040
98	-1276	-689
-177	-736	-434
-592	-320	-264
-736	-68	-196
-658	-4	-172
-708	-228	-173
-730	-976	-272
-639	-2013	-493
-484	-2048	-436
97	-2048	-409
720	-1096	-360
979	-600	-177
924	-489	44
792	-423	65
630	-624	92
556	-1157	-184
678	-2048	-1197
75	-2048	-1402
-1146	-1832	-1016
-770	-720	-740
-813	88	-391
-841	472	-308
-877	511	-328
-820	223	-168
-864	-656	-120
-682	-2048	-463
-528	-2048	-268
-193	-2048	-220
187	-1392	-221
668	-769	-112
761	-424	15
796	-301	198
761	-296	115
583	-575	-47
668	-2048	-609
156	-2048	-1386
-913	-2048	-976
-857	-1224	-640
-808	-495	-497
-866	334	-290
-775	665	-257
-525	531	-114
-569	302	15
-785	-540	-144
-1145	-2048	-546
-1320	-2048	-320
-559	-2048	-370
478	-1360	-477
745	-1050	-353
953	-639	-55
880	-424	96
734	-402	56
425	-615	-16
584	-2048	-672
-173	-2048	-1535
-1191	-2048	-957
-705	-1137	-543
-797	-120	-389
-898	632	-276
-900	822	-354
-767	534	-197
-804	-141	-101
-1028	-1880	-452
-1012	-2048	-317
-644	-2048	-221
80	-1436	-225
681	-877	-40
638	-564	152
615	-404	190
551	-376	112
435	-661	-7
550	-1597	-458
84	-2048	-1360
-879	-2048	-1012
-712	-1292	-441
-825	-602	-497
-868	243	-305
-797	744	-253
-636	664	-189
-596	335	39
-797	-855	-100
-969	-2048	-452
-847	-2048	-300
-356	-2048	-269
212	-1066	-215
505	-596	-144
694	-320	47
859	-173	124
724	-348	16
620	-832	-248
739	-2048	-1021
355	-2048	-1706
-449	-2048	-1183
-416	-1320	-613
-568	-565	-330
-749	-153	-129
-741	78	-40
-733	-124	-202
-576	-546	-497
-161	-1004	-737
259	-1076	-864
799	-1436	-1088
688	-1249	-816
603	-880	-637
465	-369	-308
400	-116	-16
627	-63	8
1064	-116	-173
1286	-575	-567
1383	-2048	-2048
550	-2048	-2048
-340	-1657	-1500
-464	-1032	-847
-640	-268	-365
-676	30	-32
-455	-104	30
-281	-293	-205
-117	-665	-596
167	-1001	-846
574	-1296	-1045
415	-1455	-1100
302	-1056	-720
528	-769	-576
595	-308	-205
459	-143	-61
465	-232	-7
236	-333	-82
639	-554	-505
1272	-1484	-1703
659	-1788	-1730
124	-1597	-1232
-7	-1077	-613
-129	-450	-180
-261	62	99
-980	124	-104
-298	-149	-189
-159	-623	-653
-156	-1093	-1184
-360	-1295	-1431
-497	-1125	-1169
-409	-1503	-1514
-76	-1306	-1105
345	-1104	-669
1488	-945	-233
1175	-914	-50
996	-879	-44
603	-1138	-119
167	-2048	-738
-1530	-2048	-1000
-1740	-2048	-592
-1384	-936	-461
-1117	331	-464
-868	1126	-626
-709	1022	-596
-609	700	-360
-922	332	-231
-1786	-1537	-396
-2048	-2048	-170
-1296	-2048	-185
-162	-1938	-133
273	-1162	16
508	-749	108
783	-477	220
711	-370	203
679	-576	96
547	-1308	-89
-34	-2048	-728
-1412	-2048	-983
-1680	-1796	-881
-1025	-660	-487
-776	423	-580
-865	1004	-760
-720	988	-613
-852	628	-359
-1399	-48	-338
-2048	-2048	-333
-1901	-2048	-20
-912	-2048	-50
59	-1688	-56
316	-1047	-8
710	-615	151
1007	-351	206
908	-481	248
510	-986	204
387	-2048	-146
-657	-2048	-850
-1820	-2048	-724
-1557	-1356	-705
-1249	86	-616
-911	728	-449
-732	764	-468
-680	623	-249
-848	287	-193
-1180	-697	-105
-1764	-2048	-76
-1749	-2048	79
-649	-2048	-39
366	-1480	35
481	-849	41
691	-477	159
1043	-437	275
755	-514	280
478	-1037	135
51	-2048	-45
-928	-2048	-397
-1668	-2048	-405
-1225	-1255	-290
-929	-311	-434
-797	615	-402
-660	887	-572
-717	720	-365
-820	515	-240
-1177	-660	-232
-2048	-2048	-276
-1901	-2048	-84
-697	-2048	-68
335	-1268	92
657	-753	155
912	-457	160
828	-436	217
635	-528	268
422	-906	160
121	-2048	-285
-906	-2048	-673
-1535	-2048	-576
-1202	-1092	-513
-1042	19	-600
-901	719	-552
-685	816	-495
-655	673	-349
-800	327	-130
-1224	-1028	-12
-1863	-2048	0
-1570	-2048	-33
-489	-2048	-16
153	-1476	31
371	-784	-84
772	-557	60
887	-519	250
751	-722	243
444	-1249	140
112	-2048	-362
-1128	-2048	-753
-1608	-2048	-583
-1089	-1076	-473
-778	-45	-433
-673	671	-413
-610	921	-516
-520	707	-317
-633	376	-100
-1028	-1137	-138
-2048	-2048	-65
-1860	-2048	-220
-413	-2028	-136
344	-1344	-15
495	-676	-22
823	-602	188
774	-537	284
519	-784	240
255	-1399	86
-333	-2048	-545
-1394	-2048	-548
-1113	-1914	-402
-880	-969	-497
-781	239	-497
-672	830	-516
-562	766	-473
-580	608	-257
-752	307	-89
-1529	-1658	-121
-1896	-2048	199
-1285	-2048	192
-210	-1732	231
296	-1049	136
312	-705	96
822	-776	324
728	-673	448
472	-717	440
323	-957	214
107	-2048	-178
-877	-2048	-370
-1188	-2048	-308
-1098	-1204	-337
-856	-225	-346
-800	632	-471
-871	820	-634
-706	622	-471
-793	86	-185
-1028	-1424	16
-1341	-2048	39
-1197	-2048	224
-338	-2048	291
329	-1364	254
483	-824	304
760	-711	484
591	-544	408
327	-578	363
260	-1066	124
-177	-2048	-784
-909	-2048	-1028
-881	-1929	-705
-850	-1216	-640
-791	-209	-484
-749	543	-441
-729	704	-500
-608	536	-333
-722	198	-135
-1088	-1156	-128
-1572	-2048	49
-1428	-2048	56
-469	-2048	44
337	-1465	223
492	-904	239
636	-573	283
676	-466	327
603	-577	291
384	-841	192
107	-2048	-232
-964	-2048	-636
-1293	-2048	-484
-973	-1256	-416
-786	-313	-330
-616	337	-273
-589	582	-378
-647	567	-377
-639	376	-248
-943	-562	-183
-1649	-2048	-23
-1634	-2048	31
-674	-2048	3
176	-1565	129
296	-1031	176
540	-601	211
615	-388	315
654	-369	295
516	-642	220
419	-1849	-42
-388	-2048	-648
-1368	-2048	-544
-1155	-1460	-375
-1002	-481	-404
-832	539	-364
-697	905	-512
-717	740	-391
-711	441	-201
-1012	-669	-263
-1921	-2048	-673
-1505	-2048	-376
-327	-2048	-157
339	-1162	-113
604	-708	-4
598	-544	188
671	-332	219
576	-433	179
361	-904	84
127	-2048	-408
-761	-2048	-776
-1272	-2048	-500
-1028	-1241	-324
-840	-248	-378
-788	623	-484
-720	827	-556
-605	636	-348
-737	352	-71
-1215	-1197	-209
-1655	-2048	-441
-1037	-2048	-242
-129	-1437	-144
372	-976	39
412	-560	33
724	-349	147
816	-308	188
638	-719	48
519	-2048	-185
-296	-2048	-872
-1224	-2048	-911
-1265	-1604	-698
-1049	-722	-636
-679	500	-552
-770	1120	-663
-608	823	-525
-690	536	-336
-993	-289	-173
-1689	-2048	16
-1772	-2048	67
-792	-2048	-89
214	-1573	16
568	-1089	94
724	-737	195
723	-488	273
591	-580	275
329	-1071	108
-89	-2048	-320
-1192	-2048	-711
-1597	-2048	-665
-1146	-1004	-476
-929	-205	-400
-712	579	-449
-848	975	-604
-695	775	-343
-868	251	-90
-1248	-1572	-210
-1388	-2048	168
-1127	-2048	44
-397	-2048	103
227	-1229	96
622	-826	158
868	-637	315
702	-498	318
379	-673	188
206	-1744	-254
-369	-2048	-1184
-1330	-2048	-1042
-1239	-1288	-658
-968	-584	-378
-720	278	-206
-584	711	-276
-784	742	-288
-626	563	-84
-909	-40	-127
-1625	-2048	-180
-1770	-2048	-77
-884	-2048	-71
100	-1677	15
412	-1005	-4
491	-576	72
567	-372	179
524	-317	159
408	-488	97
435	-1301	-164
119	-2048	-1200
-1113	-2048	-1506
-1312	-1693	-761
-1096	-631	-500
-953	459	-261
-788	940	-279
-722	864	-322
-761	432	-92
-1090	-842	-49
-1727	-2048	-125
-1402	-2048	-135
-288	-2048	12
359	-1455	115
496	-813	48
652	-464	115
769	-375	164
727	-333	167
529	-719	120
497	-2048	-360
-644	-2048	-1021
-1364	-2048	-804
-1113	-1175	-524
-842	-121	-263
-697	593	-253
-637	836	-344
-584	611	-217
-704	432	-192
-1228	-868	-137
-1825	-2048	115
-1466	-2048	104
-297	-2048	191
375	-1330	323
415	-818	251
540	-503	320
705	-447	326
599	-589	265
489	-1133	86
-93	-2048	-668
-1352	-2048	-935
-1544	-1895	-570
-1146	-1009	-482
-844	63	-301
-596	631	-282
-625	670	-320
-513	608	-217
-621	463	-128
-1385	-1113	-96
-2048	-2048	-200
-1604	-2048	-177
-136	-2001	-80
481	-1348	-87
664	-866	-82
579	-607	196
608	-360	281
444	-495	321
396	-874	225
11	-2048	-420
-1245	-2048	-621
