Activity Name: tooth/
UserID: 228676
StartTime: 0
x	y	z
19	824	-679
24	816	-656
9	777	-653
-13	764	-617
-57	732	-562
-71	663	-599
-4	742	-895
52	736	-932
75	783	-868
7	785	-786
-7	760	-783
-16	806	-697
19	713	-689
12	763	-658
27	806	-575
80	903	-568
151	795	-588
113	768	-642
40	721	-680
1	627	-656
-25	755	-640
-10	792	-578
54	811	-580
96	820	-592
94	854	-601
67	863	-648
35	780	-600
27	811	-608
-40	822	-708
-125	854	-696
-229	867	-701
-320	808	-785
-265	764	-673
-129	854	-666
-18	864	-705
81	927	-640
140	868	-616
163	864	-565
166	883	-541
207	800	-514
235	776	-529
252	747	-561
267	728	-573
255	723	-575
254	707	-576
243	743	-599
248	727	-600
255	716	-605
267	752	-633
272	767	-616
287	752	-628
280	752	-634
286	732	-618
280	739	-639
275	743	-626
283	732	-609
272	735	-625
280	732	-612
273	748	-616
281	735	-623
286	721	-605
286	716	-578
270	696	-561
254	679	-469
204	748	-537
231	811	-559
271	767	-533
224	827	-689
232	776	-621
137	817	-708
51	828	-753
7	775	-706
-42	831	-797
-25	774	-757
-16	748	-753
-57	790	-672
-89	771	-601
-141	831	-680
-114	748	-648
-101	783	-687
-125	819	-726
-159	766	-664
-80	695	-692
-79	759	-772
-55	823	-784
-36	777	-732
-49	716	-748
-17	755	-703
68	764	-765
65	792	-761
-29	814	-719
-21	755	-644
-20	743	-692
-21	812	-681
-31	847	-644
-32	1038	-650
31	880	-602
60	799	-345
67	891	-260
30	1016	-289
-26	951	-263
28	883	-201
62	891	-127
56	1039	-100
62	916	7
40	841	207
12	912	271
-71	991	358
-149	1070	415
-249	1059	291
-135	1016	94
104	1028	-58
344	1003	-116
432	1150	-162
513	1208	-73
519	1040	220
583	807	440
448	486	555
259	419	654
48	323	527
-194	419	553
-241	670	679
-121	543	905
39	588	1020
176	759	1047
240	816	974
230	871	807
292	812	712
319	632	579
344	537	559
307	463	575
329	431	540
390	313	545
416	329	547
475	343	558
504	367	550
566	387	492
615	444	436
608	536	355
572	662	312
526	809	270
499	902	260
483	841	220
432	764	134
415	671	-25
423	742	-295
432	887	-340
399	928	-385
408	979	-497
422	913	-578
390	1015	-601
319	972	-504
167	863	-248
60	799	-88
-63	857	83
-90	766	636
60	979	480
236	995	-65
185	851	-301
206	1068	-269
161	995	-4
127	999	-80
239	1095	-189
120	1094	-13
70	1139	-32
214	1279	-61
280	1039	-113
143	880	-24
140	968	102
96	828	-109
163	792	-305
192	1011	-364
143	1033	-181
188	1006	-120
169	859	3
140	873	192
195	896	147
224	862	-41
175	928	-1
231	798	-348
216	764	-557
135	692	-821
-8	723	-800
112	556	-794
176	759	-725
83	715	-744
-56	487	-959
-180	361	-1045
-144	-80	-1320
22	-68	-1360
207	275	-1159
228	929	-940
193	1041	-791
71	974	-877
-63	761	-1185
-41	729	-1025
-42	847	-641
-20	775	-496
12	880	-372
7	831	-196
55	796	-137
102	875	-112
136	897	-113
153	881	-37
179	903	22
212	944	39
240	940	49
236	928	83
236	912	92
231	913	83
240	924	83
248	934	62
268	942	60
271	920	78
263	918	96
263	960	113
259	908	111
259	908	142
268	910	137
274	892	140
287	903	140
294	911	159
287	870	169
295	889	183
299	880	190
304	880	217
307	856	208
288	816	220
284	871	223
295	897	220
307	892	225
300	862	233
295	875	207
305	881	185
303	880	190
302	875	204
299	871	171
291	902	163
289	899	180
292	903	159
311	913	145
304	878	129
291	903	131
286	899	132
280	894	127
286	935	124
295	920	112
308	913	95
318	911	97
296	894	103
287	915	115
280	911	78
300	902	79
311	903	67
284	854	167
267	787	60
236	880	-7
201	872	-154
216	948	-305
204	1033	-367
225	872	-628
254	929	-700
233	835	-733
283	721	-733
272	638	-602
232	679	-503
161	783	-509
211	760	-696
252	750	-628
208	851	-433
216	1052	-516
211	737	-618
199	758	-456
255	892	-410
281	881	-423
160	839	-428
96	799	-481
180	723	-653
24	992	-538
51	916	-625
63	748	-495
123	1084	-276
207	1039	-359
158	974	-264
96	900	-362
110	879	-456
183	752	-514
188	737	-573
140	816	-621
159	739	-671
224	595	-788
89	843	-705
158	708	-832
83	707	-745
118	803	-488
176	728	-501
179	624	-697
265	704	-961
113	792	-674
-8	819	-697
-36	700	-760
27	598	-849
158	518	-936
201	543	-893
160	643	-840
120	652	-804
111	655	-756
132	647	-733
187	608	-821
140	652	-856
97	671	-869
89	651	-864
88	667	-821
65	659	-836
19	662	-831
-20	655	-817
-16	655	-817
12	647	-823
35	622	-839
44	616	-861
35	630	-879
28	623	-863
12	615	-864
1	620	-847
-13	611	-864
-28	607	-852
-25	624	-861
-37	652	-877
-57	652	-857
-61	646	-845
-61	631	-848
-48	617	-861
-39	607	-866
-39	608	-871
-42	624	-882
-52	631	-861
-61	615	-850
-71	608	-857
-80	608	-860
-66	599	-857
-56	598	-845
-45	599	-863
-25	608	-870
-13	617	-895
-36	608	-920
-80	595	-880
-114	592	-863
-138	591	-848
-136	607	-817
-141	611	-825
-92	611	-793
-16	592	-761
36	590	-781
96	572	-761
172	551	-861
176	537	-936
111	495	-916
185	399	-961
113	419	-1007
-186	414	-1005
-393	444	-1087
-584	408	-1124
-660	401	-1197
-592	480	-1092
-399	435	-1048
-336	704	-1017
-8	524	-756
-52	305	-1237
-338	-1	-975
-138	379	-1153
-45	305	-1312
23	304	-1229
-64	420	-776
-546	345	-416
-437	403	-769
-354	492	-1133
-348	396	-916
-353	519	-945
-413	479	-1017
-191	647	-977
-136	759	-813
-192	769	-665
-200	823	-669
-216	935	-568
-200	883	-484
-193	830	-561
-258	831	-458
-337	812	-453
-408	815	-449
-452	888	-425
-530	1176	-500
-495	803	-365
-441	803	-392
-409	848	-439
-520	860	-424
-578	775	-401
-551	751	-417
-489	809	-433
-492	819	-441
-522	814	-432
-537	803	-399
-520	806	-399
-520	807	-410
-537	796	-415
-532	788	-409
-489	798	-426
-496	824	-429
-557	807	-397
-572	785	-381
-505	807	-392
-476	816	-416
-514	824	-407
-580	791	-369
-580	758	-365
-520	791	-392
-494	864	-376
-540	828	-354
-570	776	-356
-522	785	-378
-490	839	-396
-545	822	-380
-584	782	-369
-553	780	-372
-497	823	-385
-530	828	-377
-589	775	-370
-583	771	-370
-511	807	-386
-493	839	-388
-568	803	-386
-601	755	-381
-545	790	-383
-503	822	-393
-512	811	-407
-561	799	-396
-601	774	-381
-586	771	-381
-505	809	-393
-479	828	-407
-546	803	-408
-596	775	-394
-573	776	-391
-498	807	-394
-500	847	-388
-583	785	-381
-605	743	-392
-527	792	-410
-477	835	-405
-552	814	-392
-596	748	-388
-533	792	-392
-503	832	-391
-557	803	-383
-594	764	-388
-583	776	-388
-565	793	-378
-573	793	-385
-569	780	-381
-569	785	-392
-564	790	-388
-570	784	-381
-569	785	-378
-570	788	-375
-569	792	-377
-567	787	-378
-561	787	-381
-564	787	-381
-567	791	-377
-565	790	-372
-569	792	-370
-561	792	-378
-573	796	-386
-565	790	-377
-562	792	-378
-561	791	-385
-557	791	-380
-560	798	-381
-562	787	-377
-564	795	-377
-559	799	-373
-562	796	-377
-562	792	-377
-554	792	-381
-554	793	-373
-560	798	-369
-562	792	-369
-562	795	-370
-560	800	-370
-559	798	-370
-575	790	-377
-583	780	-372
-576	783	-368
-577	787	-370
-580	782	-376
-588	771	-375
-592	783	-372
-577	787	-365
-573	780	-368
-568	787	-376
-562	800	-388
-564	876	-276
-513	1043	-312
-413	1415	-352
-281	1433	-191
-269	1278	-97
-344	1088	-61
-346	974	-36
-320	752	115
-248	624	281
-456	524	396
-482	444	511
-519	401	616
-576	335	748
-514	235	768
-532	151	787
-584	119	812
-596	131	862
-560	184	865
-545	232	896
-528	204	908
-522	143	884
-557	305	843
-552	415	814
-565	359	856
-538	356	847
-557	387	815
-580	432	739
-530	424	700
-511	467	758
-497	547	716
-511	499	771
-513	543	780
-519	519	796
-493	511	734
-512	504	688
-497	476	718
-492	551	753
-489	524	758
-490	519	752
-484	491	732
-488	492	732
-482	577	750
-481	556	776
-482	539	768
-476	519	743
-474	495	736
-482	507	751
-481	508	753
-482	536	743
-485	531	743
-484	521	752
-479	524	751
-477	511	751
-473	515	742
-477	504	729
-480	484	739
-484	531	732
-484	519	742
-488	476	673
-514	433	543
-537	406	489
-528	448	472
-421	545	551
-509	984	942
-602	684	951
-697	711	719
-908	831	676
-823	745	516
-642	648	387
-424	543	348
-180	560	327
-95	641	323
-144	792	284
-189	880	236
-236	951	182
-308	1075	172
-362	1144	100
-385	1080	71
-412	1008	31
-452	967	56
-487	942	22
-497	899	-16
-509	907	-32
-505	884	-41
-498	872	-76
-511	883	-103
-519	873	-104
-521	855	-113
-525	852	-116
-529	864	-101
-538	867	-109
-548	862	-109
-556	876	-113
-551	859	-106
-552	848	-112
-559	848	-120
-552	835	-121
-564	851	-136
-561	860	-137
-561	840	-146
-557	816	-152
-548	815	-157
-548	852	-167
-569	873	-177
-575	880	-175
-572	852	-169
-576	851	-165
-575	843	-165
-568	851	-168
-584	878	-185
-600	899	-191
-616	880	-177
-599	835	-168
-589	807	-153
-596	827	-141
-594	847	-136
-577	881	-89
-544	868	-34
-535	867	4
-519	871	49
-541	919	144
-541	932	176
-512	920	153
-409	879	155
-232	865	188
-132	863	167
-125	831	115
-186	865	110
-234	839	25
-356	831	67
-449	956	79
-381	953	153
-281	916	246
-290	1023	207
-240	1112	255
-141	1065	247
-52	1017	251
-18	935	324
15	921	327
-13	1051	335
-77	1016	431
-128	902	408
-97	903	359
-39	996	387
-16	1072	415
31	995	427
88	880	440
127	752	404
140	736	414
140	743	407
143	763	412
152	784	451
179	816	475
192	872	472
110	992	534
-125	947	636
159	587	337
1001	-25	-221
302	952	272
-928	1865	1343
-338	871	380
1395	73	-791
348	817	-52
-1137	2047	1567
-476	1006	379
1588	-276	-1210
447	790	-320
-1241	2047	1740
-658	1055	527
1480	-228	-1232
505	636	-396
-1125	2047	1639
-690	1179	636
1432	-77	-1073
566	544	-442
-1104	2047	1452
-738	1324	681
1264	112	-824
742	319	-369
-770	1980	1191
-757	1419	827
895	83	-541
1075	38	-684
-504	1951	878
-1064	1843	1167
463	216	-536
1391	-200	-1084
-297	1616	487
-1127	2047	1236
182	390	-404
1284	-340	-1069
56	1254	135
-932	2047	1288
-224	740	-5
1207	-200	-927
428	688	-209
-740	2047	1183
-568	1161	374
1019	-72	-861
855	192	-658
-578	2047	999
