Activity Name: tooth/
UserID: 227620
StartTime: 0
x	y	z
460	-234	-893
459	-260	-874
460	-260	-880
463	-250	-885
483	-244	-921
486	-231	-941
481	-228	-952
483	-237	-953
483	-236	-935
476	-232	-927
476	-234	-916
479	-231	-897
475	-234	-868
487	-236	-869
496	-241	-877
496	-247	-870
499	-249	-871
504	-264	-871
497	-269	-865
495	-264	-864
499	-257	-863
480	-249	-866
451	-272	-858
399	-272	-841
310	-245	-802
174	-226	-857
51	-305	-824
-9	-241	-813
-130	-199	-914
-178	-295	-1009
-201	-276	-980
-255	-216	-992
-301	-182	-967
-417	-201	-1090
-420	-212	-960
-568	-208	-1138
-584	-273	-978
-612	-253	-896
-677	-288	-884
-696	-328	-848
-697	-322	-812
-690	-365	-861
-655	-392	-856
-610	-490	-804
-607	-420	-764
-605	-416	-722
-623	-386	-800
-621	-317	-865
-552	-199	-985
-448	-71	-1117
-417	-49	-1177
-321	49	-1071
-279	207	-1002
-279	211	-976
-261	76	-1040
-258	-16	-1058
-253	-53	-1016
-249	15	-1162
-274	-9	-1184
-253	-74	-1009
-264	-9	-852
-293	-193	-877
-189	-282	-1005
-125	-247	-941
-136	-209	-797
-121	-460	-727
-193	-532	-928
-109	-858	-1069
67	-845	-1197
44	-903	-850
-104	-856	-336
-117	-1244	-72
-87	-1009	-33
-105	-893	-29
-144	-744	70
-223	-912	224
-221	-903	464
-223	-769	600
-296	-666	563
-372	-674	627
-514	-1079	764
-393	-1184	688
-225	-952	663
-241	-464	976
-208	-706	719
-257	-722	544
-377	-682	697
-436	-685	694
-429	-808	655
-369	-815	591
-327	-748	632
-274	-687	732
-199	-897	596
-248	-698	655
-468	-609	742
-447	-929	630
-536	-908	520
-544	-701	496
-440	-829	648
-353	-999	526
-282	-1000	356
-192	-1117	280
-105	-1256	208
24	-1359	73
248	-1404	-84
383	-1405	-218
479	-1325	-392
510	-1213	-577
496	-1012	-633
591	-880	-525
552	-845	-368
527	-877	-256
454	-752	-97
414	-706	46
388	-808	-23
431	-869	-64
463	-852	67
624	-711	33
720	-650	124
743	-473	137
652	-241	238
448	-104	480
297	-37	812
344	-40	985
382	-80	1008
451	-167	793
587	-328	543
721	-173	488
716	-279	583
811	-424	463
966	-487	152
1176	-589	143
1390	-705	60
1489	-778	-232
1656	-527	-561
1575	-345	-622
1372	-420	-445
1174	-516	-221
1014	-409	-49
864	-308	62
700	-241	121
547	-162	240
492	-269	608
715	-205	272
809	-233	279
902	-409	408
947	-420	367
854	-513	233
707	-541	159
572	-589	39
447	-561	-68
304	-781	-36
220	-868	95
168	-913	203
119	-1032	323
142	-868	486
121	-876	684
19	-1225	788
64	-1125	748
-2	-1105	711
214	-1529	515
406	-1613	172
540	-1306	156
663	-980	172
838	-469	222
1048	-57	304
1052	120	319
1036	423	184
880	491	247
822	348	425
839	188	487
841	140	518
796	192	527
766	385	440
851	515	483
1004	519	671
1155	487	710
1251	31	551
1316	-373	220
1331	-520	49
1158	-501	147
1020	-266	132
764	-273	216
577	-460	284
478	-554	353
495	-692	476
536	-602	569
628	-551	502
700	-541	483
839	-418	479
865	-440	440
835	-493	422
