Activity Name: tooth/
UserID: 25716
StartTime: 0
x	y	z
224	-304	-656
145	-301	-676
112	-244	-874
112	-277	-999
65	-324	-1076
7	-345	-1069
-52	-516	-1165
-106	-601	-1165
-168	-673	-1009
-301	-589	-921
-333	-706	-879
-328	-762	-852
-301	-730	-813
-341	-645	-617
-408	-653	-365
-444	-887	-319
-484	-856	-212
-505	-953	-143
-477	-908	-160
-441	-863	-169
-361	-857	-138
-289	-893	-122
-317	-989	-189
-386	-1040	-268
-427	-1096	-241
-468	-1066	-202
-424	-980	-216
-357	-879	-140
-332	-804	-186
-328	-804	-197
-336	-834	-173
-336	-864	-174
-335	-964	-149
-327	-1007	-129
-287	-932	-95
-280	-959	-120
-287	-948	-148
-280	-932	-157
-308	-961	-176
-329	-1007	-200
-351	-983	-194
-333	-976	-199
-360	-970	-247
-333	-964	-273
-335	-945	-328
-341	-961	-357
-296	-960	-239
-305	-953	-404
-354	-914	-449
-417	-938	-576
-489	-940	-581
-479	-874	-549
-429	-833	-516
-295	-863	-344
-242	-813	-361
-245	-799	-296
-225	-800	-369
-249	-857	-345
-276	-815	-458
-324	-829	-616
-313	-793	-544
-300	-917	-585
-245	-753	-548
-276	-826	-520
-264	-847	-444
-312	-957	-301
-305	-928	-279
-269	-928	-191
-269	-933	-162
-349	-1037	-80
-313	-1007	-39
-168	-1049	195
-229	-989	168
-244	-986	223
-303	-951	238
-281	-893	323
-244	-935	334
-253	-973	382
-329	-957	454
-322	-861	515
-281	-752	580
-328	-720	616
-328	-770	630
-381	-681	551
-441	-698	668
-466	-757	688
-631	-932	799
-753	-1105	843
-585	-1273	958
-93	-1449	1107
479	-1066	540
363	-1015	252
179	-973	475
-132	-705	-17
-362	-362	-196
287	-610	-127
615	-784	287
803	-130	135
638	-264	-8
508	-285	54
323	-15	127
327	35	112
451	-490	199
-44	-1905	724
41	-1489	860
184	-1192	639
1	-1017	666
-197	-749	652
-348	-900	611
-231	-660	662
-212	-610	807
-226	-620	760
-202	-680	758
-95	-721	569
-56	-1001	374
-21	-1256	184
19	-1056	71
-8	-1160	100
-34	-993	25
-79	-985	108
-68	-1028	183
-31	-1077	127
-52	-1047	145
40	-972	142
129	-964	80
175	-1048	88
184	-1063	131
152	-1025	171
7	-820	284
83	-968	201
112	-964	143
152	-952	158
176	-1021	124
113	-1060	167
-41	-1017	192
-89	-973	219
-125	-909	225
-127	-1009	254
-106	-988	287
-58	-983	273
-10	-1080	339
63	-1058	315
23	-1048	360
-73	-1064	366
-113	-935	387
-143	-949	425
-153	-925	427
-239	-984	486
-248	-937	455
-277	-889	462
-287	-916	428
-285	-912	416
-288	-924	417
-272	-913	431
-264	-900	425
-240	-919	428
-204	-897	364
-178	-888	367
-170	-945	380
-215	-978	383
-225	-912	323
-281	-964	224
-256	-817	252
-225	-890	166
-241	-729	204
-264	-893	188
-360	-729	316
-447	-802	500
-508	-826	409
-568	-756	423
-655	-797	416
-721	-865	404
-784	-818	448
-804	-793	360
-793	-826	350
-744	-720	281
-693	-729	235
-656	-641	159
-793	-397	583
-741	-260	481
-628	-922	-77
-657	-1329	158
-776	-660	248
-836	25	319
-706	-385	263
-701	-1066	465
-788	-104	203
-706	-253	152
-665	-829	63
-705	-967	-86
-761	-570	-221
-722	-109	-698
-750	-209	-948
-705	-266	-889
-684	-247	-897
-663	-132	-800
-672	-81	-765
-688	-68	-781
-676	-12	-797
-666	-84	-802
-653	-119	-781
-671	-272	-888
-676	-217	-946
-676	-162	-676
-789	-436	-394
-852	-601	-274
-800	-529	-89
-761	-556	176
-756	-656	200
-705	-665	227
-672	-689	263
-656	-639	303
-663	-615	334
-698	-640	323
-697	-653	364
-673	-677	380
-656	-655	359
-656	-688	350
-663	-698	364
-665	-645	368
-657	-682	350
-663	-685	359
-674	-685	348
-669	-677	356
-658	-677	344
-653	-669	340
-656	-660	344
-666	-681	339
-663	-672	344
-669	-708	355
-663	-697	369
-653	-688	390
-669	-733	366
-657	-712	371
-642	-676	359
-648	-669	335
-648	-692	334
-637	-692	327
-633	-705	326
-640	-712	326
-645	-709	321
-641	-705	329
-644	-708	323
-650	-717	335
-647	-701	332
-637	-712	323
-656	-698	331
-657	-649	336
-770	-713	287
-773	-633	323
-737	-647	328
-738	-722	334
-701	-708	358
-666	-717	348
-612	-762	343
-605	-772	359
-591	-778	358
-573	-775	387
-529	-753	391
-516	-788	404
-477	-744	406
-477	-776	396
-458	-761	401
-461	-764	408
-469	-781	387
-504	-800	415
-505	-770	425
-498	-784	396
-505	-784	419
-513	-817	419
-514	-820	408
-512	-792	398
-529	-784	399
-497	-754	396
-500	-772	415
-511	-799	423
-505	-788	431
-501	-841	456
-493	-845	451
-500	-826	460
-500	-817	467
-473	-817	408
-452	-850	408
-434	-892	401
-465	-845	391
-425	-929	448
-447	-881	446
-449	-672	448
-489	-719	436
-447	-848	476
-440	-736	508
-423	-863	470
-284	-872	304
-289	-976	235
-241	-1137	200
-162	-1312	127
-180	-1217	188
